Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,465.864014,468.174011,452.421997,457.334015,457.334015,21056800
2014-09-18,456.859985,456.859985,413.104004,424.440002,424.440002,34483200
2014-09-19,424.102997,427.834991,384.532013,394.795990,394.795990,37919700
2014-09-20,394.673004,423.295990,389.882996,408.903992,408.903992,36863600
2014-09-21,408.084991,412.425995,393.181000,398.821014,398.821014,26580100
2014-09-22,399.100006,406.915985,397.130005,402.152008,402.152008,24127600
2014-09-23,402.091003,441.557007,396.196014,435.790985,435.790985,40739600
2014-09-24,435.897003,436.174011,419.204010,424.393005,424.393005,26268600
2014-09-25,424.017014,425.001007,400.802002,404.424988,404.424988,27491400
2014-09-26,403.946014,408.324005,395.546997,399.518005,399.518005,22882400
2015-01-01,318.604004,319.435013,307.053986,313.922485,313.922485,21730400
2015-06-01,228.994995,243.826004,228.213989,242.619003,242.619003,34667600
2016-01-01,430.721008,437.922485,427.099976,434.334015,434.334015,15478900
2016-07-09,650.650024,660.000000,640.000000,651.739990,651.739990,39695200
2017-01-01,963.659973,1003.079956,958.700012,998.329956,998.329956,273506000
2017-06-01,2300.000000,2459.000000,2286.000000,2458.719971,2458.719971,2218370000
2017-12-01,10800.000000,11395.000000,10600.000000,11012.599609,11012.599609,11073800000
2017-12-17,19000.000000,19891.000000,18800.000000,19140.800781,19140.800781,16474600000
2018-01-01,13657.200195,13789.099609,12700.000000,13444.879883,13444.879883,13117200000
2018-06-01,7485.469727,7527.040039,7100.000000,7501.459961,7501.459961,6534520000
2018-12-01,4017.270020,4113.620117,3850.000000,3994.009766,3994.009766,7561520000
2019-01-01,3843.520020,3925.729980,3749.159912,3869.850098,3869.850098,5965130000
2019-06-01,8572.219727,8794.000000,8524.000000,8716.919922,8716.919922,20219200000
2019-12-01,7292.879883,7400.000000,7100.000000,7193.600098,7193.600098,15432700000
2020-01-01,7194.889160,7254.330078,7174.944336,7200.174316,7200.174316,16877700000
2020-03-13,5166.000000,5744.000000,3858.000000,5000.000000,5000.000000,56073900000
2020-05-11,8739.000000,9137.000000,8547.000000,8821.000000,8821.000000,29457700000
2020-07-01,9137.000000,9296.000000,9052.000000,9135.000000,9135.000000,17532900000
2020-10-01,10621.000000,10792.000000,10608.000000,10779.000000,10779.000000,24756300000
2020-11-01,13804.000000,14100.000000,13522.000000,13781.000000,13781.000000,39267600000
2020-12-01,19698.000000,19871.000000,18849.000000,19698.000000,19698.000000,64370100000
2020-12-16,21340.000000,23778.000000,20949.000000,23241.000000,23241.000000,76543200000
2021-01-01,29344.000000,33215.000000,28972.000000,32127.000000,32127.000000,94657100000
2021-02-01,33038.000000,38000.000000,32300.000000,33141.000000,33141.000000,71258900000
2021-03-01,45153.000000,58352.000000,44950.000000,58352.000000,58352.000000,89427600000
2021-04-01,58744.000000,64863.000000,58500.000000,57695.000000,57695.000000,91278300000
2021-05-01,57801.000000,59500.000000,28805.000000,37256.000000,37256.000000,102345600000
2021-06-01,37332.000000,41330.000000,28800.000000,35045.000000,35045.000000,86543200000
2021-07-01,33590.000000,42598.000000,29301.000000,41626.000000,41626.000000,74321500000
2021-08-01,38186.000000,47069.000000,37332.000000,39979.000000,39979.000000,56789400000
2021-08-24,49148.000000,50497.000000,48500.000000,48899.000000,48899.000000,43219800000
